n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.max
3.300e+03	5.347e-02	4.782e-02	5.625e-02	7.828e-02	6.836e-02	8.941e-02	8.564e-02	7.813e-02	1.006e-01	5.316e-02	5.028e-02	5.559e-02	8.895e-02	7.153e-02	9.566e-02	9.241e-02	7.988e-02	9.587e-02
3.400e+03	5.336e-02	4.702e-02	5.662e-02	7.793e-02	6.832e-02	8.885e-02	8.620e-02	7.637e-02	1.028e-01	5.405e-02	4.985e-02	5.631e-02	8.451e-02	7.182e-02	9.607e-02	9.057e-02	7.872e-02	9.622e-02
3.500e+03	5.257e-02	4.739e-02	5.659e-02	7.537e-02	6.722e-02	8.871e-02	8.329e-02	7.040e-02	1.028e-01	5.319e-02	4.918e-02	5.550e-02	8.280e-02	7.032e-02	9.627e-02	8.796e-02	7.838e-02	9.567e-02
3.600e+03	5.187e-02	4.747e-02	5.595e-02	7.497e-02	6.620e-02	8.939e-02	8.275e-02	7.047e-02	1.026e-01	5.305e-02	4.905e-02	5.528e-02	8.105e-02	7.090e-02	9.645e-02	8.562e-02	7.617e-02	9.550e-02
3.700e+03	5.309e-02	4.762e-02	5.709e-02	7.497e-02	6.203e-02	8.937e-02	8.348e-02	6.953e-02	1.017e-01	5.376e-02	4.943e-02	5.540e-02	8.175e-02	7.113e-02	9.683e-02	8.630e-02	7.030e-02	9.433e-02
3.800e+03	5.271e-02	4.663e-02	5.860e-02	7.315e-02	6.235e-02	9.013e-02	8.788e-02	6.889e-02	9.719e-02	5.388e-02	5.025e-02	5.544e-02	7.935e-02	6.655e-02	9.654e-02	8.590e-02	7.102e-02	9.313e-02
3.900e+03	5.208e-02	4.629e-02	5.919e-02	7.025e-02	6.044e-02	9.067e-02	8.808e-02	6.818e-02	9.732e-02	5.398e-02	5.025e-02	5.555e-02	7.883e-02	6.698e-02	9.683e-02	8.598e-02	7.022e-02	9.303e-02
4.000e+03	5.273e-02	4.770e-02	5.801e-02	6.938e-02	6.031e-02	9.076e-02	8.394e-02	6.913e-02	9.771e-02	5.375e-02	5.016e-02	5.515e-02	8.067e-02	6.485e-02	9.683e-02	8.612e-02	6.781e-02	9.246e-02
4.100e+03	5.392e-02	4.793e-02	5.776e-02	6.909e-02	6.051e-02	9.125e-02	8.720e-02	6.808e-02	9.776e-02	5.412e-02	5.021e-02	5.494e-02	8.033e-02	6.485e-02	9.664e-02	8.586e-02	6.782e-02	9.246e-02
4.200e+03	5.364e-02	4.759e-02	5.704e-02	6.909e-02	5.725e-02	9.074e-02	8.659e-02	6.825e-02	9.804e-02	5.375e-02	4.936e-02	5.680e-02	7.671e-02	6.531e-02	9.465e-02	8.536e-02	6.755e-02	8.941e-02
4.300e+03	5.400e-02	4.747e-02	5.667e-02	6.857e-02	5.652e-02	8.413e-02	7.712e-02	6.829e-02	9.423e-02	5.335e-02	4.976e-02	5.536e-02	7.771e-02	6.460e-02	9.399e-02	8.482e-02	6.778e-02	8.925e-02
4.400e+03	5.371e-02	4.712e-02	5.677e-02	6.703e-02	5.685e-02	8.511e-02	7.738e-02	6.893e-02	9.364e-02	5.347e-02	4.942e-02	5.476e-02	7.777e-02	6.463e-02	9.233e-02	8.324e-02	6.505e-02	8.798e-02
4.500e+03	5.390e-02	4.712e-02	5.675e-02	6.599e-02	5.660e-02	8.561e-02	7.640e-02	6.760e-02	9.345e-02	5.382e-02	4.980e-02	5.529e-02	7.777e-02	6.520e-02	9.095e-02	8.298e-02	6.505e-02	8.808e-02
4.600e+03	5.388e-02	4.633e-02	5.693e-02	6.574e-02	5.635e-02	8.550e-02	7.708e-02	6.754e-02	9.462e-02	5.359e-02	4.986e-02	5.529e-02	7.750e-02	6.385e-02	9.051e-02	7.852e-02	6.505e-02	8.734e-02
4.700e+03	5.347e-02	4.633e-02	5.675e-02	6.557e-02	5.661e-02	8.640e-02	7.456e-02	6.748e-02	9.467e-02	5.368e-02	4.933e-02	5.546e-02	7.639e-02	6.385e-02	9.051e-02	7.811e-02	6.554e-02	8.735e-02
4.800e+03	5.371e-02	4.596e-02	5.798e-02	6.537e-02	5.716e-02	8.663e-02	7.440e-02	6.740e-02	9.428e-02	5.313e-02	4.961e-02	5.542e-02	7.545e-02	6.372e-02	9.057e-02	7.798e-02	6.406e-02	8.693e-02
4.900e+03	5.364e-02	4.610e-02	5.650e-02	6.545e-02	5.703e-02	8.134e-02	7.481e-02	6.713e-02	9.530e-02	5.340e-02	4.998e-02	5.604e-02	7.589e-02	6.368e-02	9.111e-02	7.824e-02	6.435e-02	8.685e-02
5.000e+03	5.342e-02	4.590e-02	5.644e-02	6.537e-02	5.638e-02	8.047e-02	7.256e-02	6.570e-02	9.417e-02	5.360e-02	5.007e-02	5.604e-02	7.610e-02	6.185e-02	9.115e-02	7.836e-02	6.435e-02	8.685e-02
5.100e+03	5.320e-02	4.716e-02	5.700e-02	6.376e-02	5.641e-02	8.033e-02	7.189e-02	6.534e-02	9.320e-02	5.387e-02	5.080e-02	5.620e-02	7.584e-02	6.282e-02	8.918e-02	7.653e-02	6.298e-02	8.628e-02
5.200e+03	5.320e-02	4.677e-02	5.713e-02	6.400e-02	5.594e-02	7.966e-02	7.227e-02	6.438e-02	9.015e-02	5.342e-02	4.998e-02	5.622e-02	7.501e-02	6.299e-02	9.015e-02	7.662e-02	6.181e-02	8.644e-02
5.300e+03	5.397e-02	4.719e-02	5.823e-02	6.471e-02	5.565e-02	7.750e-02	7.164e-02	6.414e-02	9.166e-02	5.301e-02	5.089e-02	5.626e-02	7.505e-02	6.291e-02	9.012e-02	7.738e-02	6.188e-02	8.635e-02
5.400e+03	5.410e-02	4.557e-02	5.832e-02	6.575e-02	5.461e-02	7.421e-02	7.164e-02	6.418e-02	8.953e-02	5.405e-02	5.070e-02	5.685e-02	7.505e-02	6.335e-02	8.993e-02	7.622e-02	6.520e-02	8.631e-02
5.500e+03	5.375e-02	4.601e-02	5.842e-02	6.547e-02	5.463e-02	7.384e-02	7.158e-02	6.364e-02	8.922e-02	5.355e-02	5.062e-02	5.617e-02	7.518e-02	6.022e-02	9.265e-02	7.619e-02	6.490e-02	8.522e-02
5.600e+03	5.440e-02	4.601e-02	5.724e-02	6.547e-02	5.516e-02	7.381e-02	7.161e-02	6.325e-02	8.892e-02	5.355e-02	5.067e-02	5.627e-02	7.505e-02	6.022e-02	8.466e-02	7.650e-02	6.495e-02	8.522e-02
5.700e+03	5.398e-02	4.574e-02	5.781e-02	6.481e-02	5.596e-02	7.324e-02	7.139e-02	6.325e-02	8.697e-02	5.361e-02	5.126e-02	5.576e-02	7.556e-02	5.995e-02	8.466e-02	7.705e-02	6.438e-02	8.373e-02
5.800e+03	5.452e-02	4.574e-02	5.787e-02	6.143e-02	5.611e-02	7.324e-02	7.150e-02	5.890e-02	8.697e-02	5.363e-02	5.096e-02	5.536e-02	7.570e-02	5.961e-02	8.349e-02	7.705e-02	6.476e-02	8.366e-02
5.900e+03	5.427e-02	4.554e-02	5.783e-02	6.276e-02	5.173e-02	7.336e-02	7.177e-02	5.792e-02	8.694e-02	5.380e-02	5.138e-02	5.536e-02	7.273e-02	5.946e-02	8.376e-02	7.801e-02	6.509e-02	8.366e-02
6.000e+03	5.489e-02	4.572e-02	5.783e-02	6.220e-02	5.144e-02	7.402e-02	7.138e-02	5.750e-02	8.684e-02	5.421e-02	5.138e-02	5.563e-02	7.265e-02	5.983e-02	8.391e-02	7.801e-02	6.639e-02	8.414e-02
6.100e+03	5.471e-02	4.549e-02	5.783e-02	6.220e-02	5.285e-02	7.357e-02	7.197e-02	5.729e-02	8.365e-02	5.407e-02	5.113e-02	5.573e-02	7.246e-02	5.983e-02	8.424e-02	7.319e-02	6.639e-02	8.436e-02
6.200e+03	5.483e-02	4.486e-02	5.756e-02	6.197e-02	5.391e-02	7.386e-02	7.188e-02	5.729e-02	8.451e-02	5.442e-02	5.104e-02	5.543e-02	7.214e-02	5.966e-02	7.944e-02	7.319e-02	6.622e-02	8.507e-02
6.300e+03	5.462e-02	4.495e-02	5.714e-02	6.176e-02	5.232e-02	7.304e-02	7.188e-02	5.428e-02	8.461e-02	5.420e-02	5.050e-02	5.517e-02	7.214e-02	5.966e-02	7.944e-02	7.296e-02	6.549e-02	8.542e-02
6.400e+03	5.349e-02	4.493e-02	5.781e-02	6.173e-02	5.392e-02	7.438e-02	7.220e-02	5.378e-02	8.405e-02	5.379e-02	5.059e-02	5.544e-02	7.192e-02	5.966e-02	7.944e-02	7.268e-02	6.584e-02	8.379e-02
6.500e+03	5.401e-02	4.488e-02	5.769e-02	6.195e-02	5.229e-02	7.440e-02	7.190e-02	5.377e-02	8.392e-02	5.437e-02	5.076e-02	5.608e-02	7.099e-02	5.905e-02	7.732e-02	7.260e-02	6.611e-02	8.361e-02
6.600e+03	5.521e-02	4.484e-02	5.808e-02	6.151e-02	5.046e-02	7.172e-02	7.214e-02	5.441e-02	8.450e-02	5.427e-02	5.122e-02	5.631e-02	6.804e-02	5.866e-02	7.688e-02	7.155e-02	6.521e-02	7.870e-02
6.700e+03	5.374e-02	4.557e-02	5.799e-02	6.170e-02	5.062e-02	7.226e-02	7.295e-02	5.396e-02	8.462e-02	5.427e-02	5.104e-02	5.655e-02	6.790e-02	5.645e-02	7.686e-02	7.130e-02	6.544e-02	7.758e-02
6.800e+03	5.412e-02	4.586e-02	5.803e-02	6.127e-02	5.098e-02	7.269e-02	7.311e-02	5.296e-02	8.482e-02	5.430e-02	5.053e-02	5.670e-02	6.802e-02	5.611e-02	7.686e-02	7.130e-02	6.556e-02	7.738e-02
6.900e+03	5.449e-02	4.563e-02	5.886e-02	6.206e-02	5.058e-02	7.233e-02	7.245e-02	5.444e-02	8.482e-02	5.550e-02	5.066e-02	5.666e-02	6.879e-02	5.577e-02	7.808e-02	6.985e-02	6.629e-02	7.618e-02
7.000e+03	5.428e-02	4.563e-02	5.876e-02	6.173e-02	5.058e-02	7.310e-02	7.260e-02	5.422e-02	8.496e-02	5.530e-02	5.107e-02	5.666e-02	6.604e-02	5.587e-02	7.813e-02	6.992e-02	6.589e-02	7.588e-02
7.100e+03	5.412e-02	4.609e-02	5.876e-02	6.206e-02	5.149e-02	6.956e-02	7.289e-02	5.412e-02	8.461e-02	5.485e-02	5.086e-02	5.653e-02	6.615e-02	5.511e-02	7.813e-02	6.992e-02	6.554e-02	7.539e-02
7.200e+03	5.309e-02	4.545e-02	5.933e-02	5.700e-02	5.101e-02	6.982e-02	7.339e-02	5.412e-02	8.507e-02	5.499e-02	5.007e-02	5.702e-02	6.690e-02	5.479e-02	7.813e-02	7.068e-02	6.533e-02	7.509e-02
7.300e+03	5.292e-02	4.581e-02	5.899e-02	5.659e-02	5.101e-02	6.963e-02	7.274e-02	5.428e-02	8.507e-02	5.492e-02	4.949e-02	5.648e-02	6.712e-02	5.625e-02	7.767e-02	7.068e-02	6.533e-02	7.526e-02
7.400e+03	5.294e-02	4.614e-02	5.899e-02	5.659e-02	5.099e-02	6.920e-02	7.259e-02	5.361e-02	8.523e-02	5.499e-02	4.939e-02	5.668e-02	6.754e-02	5.664e-02	7.767e-02	7.068e-02	6.537e-02	7.636e-02
7.500e+03	5.328e-02	4.623e-02	5.899e-02	5.781e-02	5.107e-02	6.962e-02	7.257e-02	5.388e-02	8.535e-02	5.428e-02	4.936e-02	5.610e-02	6.754e-02	5.772e-02	7.773e-02	6.890e-02	6.482e-02	7.700e-02
7.600e+03	5.398e-02	4.602e-02	5.820e-02	5.964e-02	5.059e-02	7.016e-02	7.288e-02	5.415e-02	8.500e-02	5.412e-02	5.013e-02	5.675e-02	6.775e-02	5.830e-02	7.930e-02	6.819e-02	6.482e-02	7.681e-02
7.700e+03	5.398e-02	4.537e-02	5.844e-02	5.669e-02	4.946e-02	7.022e-02	7.328e-02	5.442e-02	8.436e-02	5.409e-02	5.007e-02	5.686e-02	6.790e-02	5.830e-02	7.945e-02	6.783e-02	6.345e-02	7.578e-02
7.800e+03	5.421e-02	4.509e-02	5.805e-02	5.604e-02	4.912e-02	6.961e-02	7.328e-02	5.470e-02	8.451e-02	5.453e-02	4.979e-02	5.702e-02	6.454e-02	5.911e-02	7.844e-02	6.783e-02	6.324e-02	7.578e-02
7.900e+03	5.351e-02	4.509e-02	5.805e-02	5.594e-02	4.928e-02	6.874e-02	7.239e-02	5.471e-02	8.456e-02	5.509e-02	4.988e-02	5.722e-02	6.438e-02	5.828e-02	7.914e-02	6.773e-02	6.328e-02	7.557e-02
8.000e+03	5.292e-02	4.492e-02	5.773e-02	5.594e-02	4.918e-02	6.885e-02	7.300e-02	5.610e-02	8.469e-02	5.453e-02	4.988e-02	5.766e-02	6.438e-02	5.828e-02	7.914e-02	6.761e-02	6.328e-02	7.483e-02
8.100e+03	5.309e-02	4.480e-02	5.773e-02	5.578e-02	4.892e-02	6.885e-02	7.260e-02	5.682e-02	8.470e-02	5.445e-02	4.983e-02	5.684e-02	6.435e-02	5.669e-02	7.934e-02	6.761e-02	6.322e-02	7.489e-02
8.200e+03	5.279e-02	4.482e-02	5.773e-02	5.578e-02	4.853e-02	6.885e-02	7.260e-02	5.669e-02	8.482e-02	5.434e-02	4.983e-02	5.673e-02	6.444e-02	5.669e-02	7.953e-02	6.660e-02	6.287e-02	7.447e-02
8.300e+03	5.320e-02	4.471e-02	5.811e-02	5.480e-02	4.731e-02	6.885e-02	7.260e-02	5.669e-02	8.465e-02	5.444e-02	5.043e-02	5.738e-02	6.441e-02	5.603e-02	7.949e-02	6.687e-02	6.287e-02	7.385e-02
8.400e+03	5.335e-02	4.476e-02	5.792e-02	5.512e-02	4.715e-02	6.897e-02	7.021e-02	5.669e-02	8.501e-02	5.421e-02	5.029e-02	5.732e-02	6.369e-02	5.603e-02	8.003e-02	6.687e-02	6.313e-02	7.377e-02
8.500e+03	5.292e-02	4.520e-02	5.792e-02	5.579e-02	4.715e-02	6.884e-02	6.832e-02	5.503e-02	7.930e-02	5.427e-02	4.958e-02	5.801e-02	6.341e-02	5.603e-02	8.003e-02	6.660e-02	6.201e-02	7.294e-02
