n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.max
2.800e+03	2.307e-01	2.303e-01	2.322e-01	2.311e-01	2.304e-01	2.326e-01	2.314e-01	2.305e-01	2.334e-01	4.352e-02	3.215e-02	7.906e-02	7.714e-02	4.394e-02	1.003e-01	5.215e-02	3.372e-02	7.381e-02
2.900e+03	2.307e-01	2.303e-01	2.321e-01	2.309e-01	2.303e-01	2.323e-01	2.312e-01	2.304e-01	2.334e-01	4.352e-02	3.172e-02	7.772e-02	7.714e-02	4.394e-02	1.003e-01	5.123e-02	3.372e-02	6.472e-02
3.000e+03	2.307e-01	2.302e-01	2.321e-01	2.309e-01	2.303e-01	2.323e-01	2.312e-01	2.304e-01	2.326e-01	4.352e-02	3.172e-02	7.772e-02	6.903e-02	3.795e-02	9.035e-02	5.123e-02	3.372e-02	6.472e-02
3.100e+03	2.307e-01	2.302e-01	2.321e-01	2.309e-01	2.303e-01	2.323e-01	2.312e-01	2.304e-01	2.326e-01	4.352e-02	3.172e-02	7.772e-02	6.903e-02	3.561e-02	9.035e-02	5.041e-02	3.336e-02	6.447e-02
3.200e+03	2.307e-01	2.302e-01	2.321e-01	2.309e-01	2.303e-01	2.320e-01	2.311e-01	2.303e-01	2.326e-01	3.999e-02	3.172e-02	7.772e-02	6.731e-02	3.561e-02	9.035e-02	5.041e-02	3.091e-02	6.447e-02
3.300e+03	2.307e-01	2.302e-01	2.321e-01	2.309e-01	2.302e-01	2.320e-01	2.309e-01	2.303e-01	2.326e-01	3.999e-02	3.172e-02	7.499e-02	6.731e-02	3.561e-02	9.035e-02	5.041e-02	3.018e-02	6.447e-02
3.400e+03	2.307e-01	2.302e-01	2.321e-01	2.307e-01	2.302e-01	2.320e-01	2.309e-01	2.303e-01	2.323e-01	3.982e-02	3.054e-02	7.499e-02	6.731e-02	3.561e-02	9.035e-02	4.574e-02	3.018e-02	6.447e-02
3.500e+03	2.307e-01	2.302e-01	2.321e-01	2.307e-01	2.302e-01	2.320e-01	2.309e-01	2.303e-01	2.321e-01	3.982e-02	3.054e-02	7.499e-02	6.042e-02	3.561e-02	8.757e-02	4.574e-02	3.018e-02	6.447e-02
3.600e+03	2.307e-01	2.302e-01	2.321e-01	2.307e-01	2.302e-01	2.320e-01	2.308e-01	2.302e-01	2.321e-01	3.982e-02	3.054e-02	7.499e-02	5.262e-02	3.155e-02	8.757e-02	4.574e-02	3.018e-02	6.447e-02
3.700e+03	2.306e-01	2.302e-01	2.316e-01	2.305e-01	2.302e-01	2.320e-01	2.308e-01	2.302e-01	2.314e-01	3.829e-02	2.703e-02	5.570e-02	5.262e-02	2.784e-02	8.757e-02	4.356e-02	2.911e-02	5.435e-02
3.800e+03	2.306e-01	2.302e-01	2.312e-01	2.305e-01	2.302e-01	2.320e-01	2.308e-01	2.302e-01	2.312e-01	3.829e-02	2.703e-02	5.570e-02	4.990e-02	2.585e-02	7.596e-02	4.356e-02	2.911e-02	5.435e-02
3.900e+03	2.306e-01	2.302e-01	2.309e-01	2.305e-01	2.302e-01	2.320e-01	2.308e-01	2.302e-01	2.312e-01	3.829e-02	2.703e-02	5.570e-02	4.990e-02	2.585e-02	7.596e-02	4.167e-02	2.803e-02	5.435e-02
4.000e+03	2.306e-01	2.302e-01	2.309e-01	2.305e-01	2.302e-01	2.320e-01	2.308e-01	2.302e-01	2.312e-01	3.829e-02	2.493e-02	5.570e-02	4.990e-02	2.585e-02	7.596e-02	3.733e-02	2.803e-02	5.435e-02
4.100e+03	2.304e-01	2.302e-01	2.309e-01	2.304e-01	2.302e-01	2.316e-01	2.305e-01	2.301e-01	2.312e-01	3.829e-02	2.493e-02	5.570e-02	4.990e-02	2.585e-02	7.596e-02	3.733e-02	2.803e-02	5.435e-02
4.200e+03	2.304e-01	2.302e-01	2.309e-01	2.304e-01	2.301e-01	2.311e-01	2.304e-01	2.301e-01	2.312e-01	3.829e-02	2.493e-02	5.570e-02	4.990e-02	2.585e-02	7.048e-02	3.733e-02	2.803e-02	5.435e-02
4.300e+03	2.304e-01	2.302e-01	2.309e-01	2.304e-01	2.301e-01	2.311e-01	2.304e-01	2.301e-01	2.311e-01	3.829e-02	2.493e-02	5.570e-02	4.990e-02	2.585e-02	7.048e-02	3.733e-02	2.803e-02	5.435e-02
4.400e+03	2.304e-01	2.302e-01	2.309e-01	2.304e-01	2.301e-01	2.309e-01	2.303e-01	2.301e-01	2.308e-01	3.829e-02	2.493e-02	5.570e-02	4.990e-02	2.585e-02	7.048e-02	3.442e-02	2.035e-02	5.435e-02
4.500e+03	2.304e-01	2.302e-01	2.309e-01	2.304e-01	2.301e-01	2.309e-01	2.303e-01	2.301e-01	2.308e-01	3.829e-02	2.493e-02	5.570e-02	4.990e-02	2.585e-02	7.048e-02	3.442e-02	2.035e-02	5.435e-02
4.600e+03	2.304e-01	2.301e-01	2.308e-01	2.304e-01	2.301e-01	2.309e-01	2.303e-01	2.301e-01	2.308e-01	3.829e-02	2.493e-02	5.570e-02	4.700e-02	2.585e-02	7.048e-02	3.442e-02	2.035e-02	5.435e-02
4.700e+03	2.304e-01	2.301e-01	2.308e-01	2.304e-01	2.301e-01	2.309e-01	2.303e-01	2.301e-01	2.308e-01	3.829e-02	2.493e-02	5.570e-02	4.700e-02	2.585e-02	7.048e-02	3.442e-02	2.035e-02	5.435e-02
