n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.max
6.200e+03	5.693e-02	5.222e-02	6.491e-02	6.573e-02	5.497e-02	7.642e-02	7.422e-02	6.258e-02	9.131e-02	6.098e-02	5.613e-02	6.403e-02	7.455e-02	6.393e-02	8.026e-02	7.407e-02	6.649e-02	8.146e-02
6.300e+03	5.761e-02	5.222e-02	6.495e-02	6.573e-02	5.487e-02	7.584e-02	7.508e-02	6.026e-02	9.131e-02	5.907e-02	5.583e-02	6.423e-02	7.455e-02	6.393e-02	8.010e-02	7.370e-02	6.620e-02	8.182e-02
6.400e+03	5.761e-02	5.250e-02	6.491e-02	6.724e-02	5.428e-02	7.596e-02	7.544e-02	6.026e-02	9.076e-02	6.003e-02	5.583e-02	6.393e-02	7.215e-02	6.309e-02	8.010e-02	7.359e-02	6.706e-02	8.182e-02
6.500e+03	5.775e-02	5.250e-02	6.544e-02	6.711e-02	5.439e-02	7.559e-02	7.266e-02	6.169e-02	8.977e-02	6.055e-02	5.573e-02	6.404e-02	7.217e-02	6.341e-02	7.844e-02	7.208e-02	6.764e-02	8.182e-02
6.600e+03	5.778e-02	5.290e-02	6.587e-02	6.660e-02	5.371e-02	7.157e-02	7.266e-02	5.895e-02	8.974e-02	6.012e-02	5.609e-02	6.393e-02	7.152e-02	6.357e-02	7.713e-02	7.112e-02	6.742e-02	8.072e-02
6.700e+03	5.873e-02	5.300e-02	6.540e-02	6.586e-02	5.349e-02	7.274e-02	7.129e-02	5.899e-02	8.974e-02	6.059e-02	5.604e-02	6.393e-02	7.097e-02	6.254e-02	7.712e-02	7.065e-02	6.742e-02	8.068e-02
6.800e+03	5.860e-02	5.139e-02	6.540e-02	6.530e-02	5.404e-02	7.274e-02	7.221e-02	5.858e-02	9.126e-02	6.097e-02	5.592e-02	6.477e-02	7.088e-02	6.244e-02	7.698e-02	7.046e-02	6.695e-02	8.099e-02
6.900e+03	5.867e-02	5.096e-02	6.594e-02	6.440e-02	5.417e-02	7.267e-02	7.778e-02	5.902e-02	9.141e-02	6.111e-02	5.630e-02	6.418e-02	7.035e-02	6.193e-02	7.770e-02	7.101e-02	6.717e-02	7.543e-02
7.000e+03	5.810e-02	5.070e-02	6.690e-02	6.440e-02	5.437e-02	7.293e-02	7.747e-02	5.942e-02	9.117e-02	6.139e-02	5.676e-02	6.421e-02	6.958e-02	6.241e-02	7.743e-02	7.131e-02	6.772e-02	7.578e-02
7.100e+03	5.850e-02	5.145e-02	6.648e-02	6.139e-02	5.505e-02	7.152e-02	7.765e-02	6.001e-02	9.103e-02	6.084e-02	5.697e-02	6.421e-02	6.958e-02	6.241e-02	8.071e-02	7.157e-02	6.741e-02	7.555e-02
