n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg.max
1.240e+04	4.019e-01	3.640e-01	4.162e-01	2.914e-01	2.831e-01	3.481e-01	2.126e-01	1.874e-01	2.379e-01
1.250e+04	4.021e-01	3.640e-01	4.162e-01	2.919e-01	2.838e-01	3.483e-01	2.126e-01	1.874e-01	2.374e-01
1.260e+04	4.024e-01	3.640e-01	4.157e-01	2.914e-01	2.848e-01	3.483e-01	2.131e-01	1.874e-01	2.388e-01
1.270e+04	4.021e-01	3.645e-01	4.160e-01	2.924e-01	2.848e-01	3.488e-01	2.129e-01	1.864e-01	2.421e-01
1.280e+04	4.026e-01	3.645e-01	4.160e-01	2.938e-01	2.852e-01	3.488e-01	2.129e-01	1.869e-01	2.419e-01
1.290e+04	4.021e-01	3.648e-01	4.162e-01	2.955e-01	2.855e-01	3.490e-01	2.143e-01	1.867e-01	2.429e-01
1.300e+04	4.026e-01	3.657e-01	4.155e-01	2.962e-01	2.862e-01	3.490e-01	2.140e-01	1.857e-01	2.436e-01
1.310e+04	4.026e-01	3.657e-01	4.152e-01	2.952e-01	2.862e-01	3.495e-01	2.143e-01	1.860e-01	2.426e-01
1.320e+04	4.026e-01	3.657e-01	4.140e-01	2.974e-01	2.857e-01	3.495e-01	2.152e-01	1.879e-01	2.426e-01
1.330e+04	4.021e-01	3.662e-01	4.140e-01	2.983e-01	2.879e-01	3.495e-01	2.164e-01	1.869e-01	2.398e-01
1.340e+04	4.024e-01	3.669e-01	4.138e-01	3.002e-01	2.879e-01	3.495e-01	2.164e-01	1.862e-01	2.400e-01
1.350e+04	4.024e-01	3.669e-01	4.140e-01	3.057e-01	2.874e-01	3.502e-01	2.183e-01	1.860e-01	2.395e-01
