n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.max
5.200e+03	1.349e-02	1.215e-02	1.899e-02	2.598e-02	2.108e-02	2.767e-02	3.170e-02	2.470e-02	3.466e-02
5.300e+03	1.349e-02	1.161e-02	1.902e-02	2.598e-02	2.102e-02	2.727e-02	3.120e-02	2.471e-02	3.701e-02
5.400e+03	1.307e-02	1.108e-02	1.921e-02	2.600e-02	1.999e-02	2.829e-02	3.030e-02	2.473e-02	3.898e-02
5.500e+03	1.322e-02	1.108e-02	1.906e-02	2.600e-02	1.987e-02	2.787e-02	3.144e-02	2.425e-02	3.965e-02
5.600e+03	1.319e-02	1.102e-02	1.915e-02	2.515e-02	1.914e-02	2.787e-02	3.144e-02	2.425e-02	3.977e-02
5.700e+03	1.339e-02	1.100e-02	1.912e-02	2.332e-02	1.904e-02	2.751e-02	3.109e-02	2.366e-02	3.950e-02
5.800e+03	1.402e-02	1.108e-02	1.915e-02	2.332e-02	1.916e-02	2.809e-02	3.137e-02	2.371e-02	3.795e-02
5.900e+03	1.393e-02	1.086e-02	1.830e-02	2.343e-02	1.918e-02	2.809e-02	3.164e-02	2.253e-02	3.676e-02
6.000e+03	1.407e-02	1.082e-02	1.840e-02	2.271e-02	1.924e-02	2.835e-02	3.128e-02	2.401e-02	3.674e-02
6.100e+03	1.404e-02	1.082e-02	1.765e-02	2.317e-02	1.941e-02	2.846e-02	3.090e-02	2.360e-02	3.674e-02
6.200e+03	1.449e-02	1.058e-02	1.770e-02	2.335e-02	1.990e-02	2.846e-02	3.181e-02	2.493e-02	3.590e-02
6.300e+03	1.419e-02	1.068e-02	1.694e-02	2.307e-02	1.976e-02	2.859e-02	3.162e-02	2.430e-02	3.605e-02
6.400e+03	1.405e-02	1.072e-02	1.691e-02	2.312e-02	1.958e-02	2.754e-02	3.054e-02	2.349e-02	3.605e-02
6.500e+03	1.392e-02	1.056e-02	1.660e-02	2.280e-02	1.958e-02	2.743e-02	3.005e-02	2.412e-02	3.605e-02
6.600e+03	1.393e-02	9.597e-03	1.588e-02	2.299e-02	1.968e-02	2.742e-02	3.023e-02	2.483e-02	3.613e-02
6.700e+03	1.393e-02	8.968e-03	1.587e-02	2.228e-02	1.839e-02	2.787e-02	3.074e-02	2.431e-02	3.685e-02
6.800e+03	1.394e-02	8.248e-03	1.560e-02	2.195e-02	1.908e-02	2.708e-02	3.046e-02	2.400e-02	3.607e-02
6.900e+03	1.394e-02	8.501e-03	1.530e-02	2.237e-02	1.863e-02	2.698e-02	3.027e-02	2.413e-02	3.571e-02
7.000e+03	1.383e-02	8.501e-03	1.445e-02	2.162e-02	1.737e-02	2.645e-02	3.023e-02	2.415e-02	3.550e-02
7.100e+03	1.382e-02	8.501e-03	1.442e-02	2.155e-02	1.713e-02	2.564e-02	3.063e-02	2.405e-02	3.522e-02
7.200e+03	1.307e-02	8.501e-03	1.422e-02	2.110e-02	1.696e-02	2.627e-02	3.018e-02	2.404e-02	3.494e-02
7.300e+03	1.274e-02	8.418e-03	1.379e-02	2.110e-02	1.715e-02	2.627e-02	2.797e-02	2.429e-02	3.549e-02
7.400e+03	1.271e-02	8.400e-03	1.311e-02	2.147e-02	1.688e-02	2.603e-02	2.792e-02	2.445e-02	3.522e-02
7.500e+03	1.122e-02	8.230e-03	1.254e-02	2.112e-02	1.661e-02	2.612e-02	2.753e-02	2.445e-02	3.501e-02
7.600e+03	1.110e-02	8.404e-03	1.260e-02	2.133e-02	1.686e-02	2.614e-02	2.695e-02	2.440e-02	3.581e-02
7.700e+03	1.098e-02	8.388e-03	1.220e-02	2.133e-02	1.709e-02	2.589e-02	2.690e-02	2.488e-02	3.562e-02
7.800e+03	9.744e-03	8.333e-03	1.196e-02	2.133e-02	1.747e-02	2.659e-02	2.714e-02	2.563e-02	3.553e-02
7.900e+03	9.476e-03	8.332e-03	1.128e-02	2.123e-02	1.748e-02	2.713e-02	2.690e-02	2.572e-02	3.509e-02
8.000e+03	9.449e-03	8.333e-03	1.134e-02	2.128e-02	1.805e-02	2.619e-02	2.682e-02	2.563e-02	3.549e-02
8.100e+03	9.726e-03	8.333e-03	1.061e-02	2.157e-02	1.824e-02	2.650e-02	2.660e-02	2.593e-02	3.652e-02
8.200e+03	9.776e-03	8.279e-03	1.061e-02	2.156e-02	1.746e-02	2.650e-02	2.656e-02	2.592e-02	3.658e-02
8.300e+03	9.820e-03	8.481e-03	1.055e-02	2.222e-02	1.753e-02	2.664e-02	2.722e-02	2.585e-02	3.648e-02
8.400e+03	9.857e-03	8.461e-03	1.033e-02	2.222e-02	1.738e-02	2.649e-02	2.690e-02	2.585e-02	3.688e-02
8.500e+03	9.802e-03	8.461e-03	1.033e-02	2.256e-02	1.761e-02	2.653e-02	2.734e-02	2.585e-02	3.719e-02
8.600e+03	9.744e-03	8.461e-03	1.033e-02	2.267e-02	1.753e-02	2.661e-02	2.671e-02	2.585e-02	3.674e-02
8.700e+03	9.551e-03	8.461e-03	1.039e-02	2.267e-02	1.752e-02	2.661e-02	2.673e-02	2.585e-02	3.675e-02
8.800e+03	9.805e-03	8.264e-03	1.050e-02	2.207e-02	1.751e-02	2.626e-02	2.682e-02	2.565e-02	3.581e-02
8.900e+03	9.972e-03	8.448e-03	1.042e-02	2.210e-02	1.825e-02	2.626e-02	2.697e-02	2.515e-02	3.571e-02
9.000e+03	9.279e-03	8.264e-03	1.008e-02	2.246e-02	1.817e-02	2.633e-02	2.675e-02	2.515e-02	3.571e-02
9.100e+03	9.279e-03	8.400e-03	9.579e-03	2.424e-02	1.809e-02	2.624e-02	2.706e-02	2.396e-02	3.705e-02
9.200e+03	9.194e-03	8.448e-03	9.527e-03	2.438e-02	1.762e-02	2.624e-02	2.681e-02	2.332e-02	3.760e-02
9.300e+03	9.194e-03	8.448e-03	9.742e-03	2.465e-02	1.755e-02	2.622e-02	2.726e-02	2.332e-02	3.760e-02
9.400e+03	9.449e-03	8.627e-03	9.742e-03	2.488e-02	1.746e-02	2.627e-02	2.726e-02	2.321e-02	3.760e-02
9.500e+03	9.358e-03	8.627e-03	1.000e-02	2.496e-02	1.855e-02	2.599e-02	2.726e-02	2.252e-02	3.781e-02
9.600e+03	9.322e-03	8.637e-03	1.000e-02	2.504e-02	1.862e-02	2.541e-02	2.748e-02	2.223e-02	3.743e-02
9.700e+03	9.888e-03	8.637e-03	1.004e-02	2.495e-02	1.847e-02	2.555e-02	2.768e-02	2.209e-02	3.674e-02
9.800e+03	9.888e-03	8.637e-03	1.015e-02	2.414e-02	1.847e-02	2.538e-02	2.768e-02	2.178e-02	3.699e-02
9.900e+03	9.957e-03	8.448e-03	1.015e-02	2.044e-02	1.842e-02	2.510e-02	2.807e-02	2.098e-02	3.694e-02
1.000e+04	9.221e-03	8.627e-03	1.017e-02	2.043e-02	1.852e-02	2.510e-02	2.924e-02	2.051e-02	3.671e-02
1.010e+04	9.221e-03	8.627e-03	1.031e-02	2.052e-02	1.852e-02	2.482e-02	2.954e-02	1.986e-02	3.602e-02
1.020e+04	9.221e-03	8.627e-03	1.031e-02	2.052e-02	1.824e-02	2.510e-02	2.971e-02	1.950e-02	3.609e-02
1.030e+04	9.221e-03	8.532e-03	1.031e-02	2.052e-02	1.833e-02	2.505e-02	3.002e-02	1.949e-02	3.595e-02
