n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.max
5.500e+03	3.407e-02	2.310e-02	3.640e-02	3.882e-02	2.854e-02	4.594e-02	4.053e-02	3.883e-02	4.427e-02
5.600e+03	3.321e-02	2.377e-02	3.461e-02	3.760e-02	2.850e-02	4.460e-02	4.036e-02	3.924e-02	4.417e-02
5.700e+03	3.046e-02	2.390e-02	3.412e-02	3.716e-02	3.062e-02	4.446e-02	4.035e-02	3.849e-02	4.427e-02
5.800e+03	2.871e-02	2.553e-02	3.349e-02	3.634e-02	2.904e-02	4.482e-02	4.013e-02	3.763e-02	4.287e-02
5.900e+03	2.831e-02	2.638e-02	3.333e-02	3.665e-02	2.854e-02	4.439e-02	3.959e-02	3.490e-02	4.171e-02
6.000e+03	2.818e-02	2.485e-02	3.333e-02	3.458e-02	2.729e-02	4.475e-02	3.961e-02	3.552e-02	4.171e-02
6.100e+03	2.610e-02	2.358e-02	3.342e-02	3.450e-02	2.695e-02	4.279e-02	4.073e-02	3.665e-02	4.171e-02
6.200e+03	2.797e-02	2.266e-02	3.086e-02	3.475e-02	2.698e-02	4.461e-02	4.034e-02	3.480e-02	4.100e-02
6.300e+03	2.734e-02	2.179e-02	3.176e-02	3.468e-02	2.659e-02	4.447e-02	3.962e-02	3.505e-02	4.032e-02
6.400e+03	2.723e-02	2.229e-02	3.011e-02	3.419e-02	2.598e-02	4.419e-02	3.886e-02	3.480e-02	4.022e-02
6.500e+03	2.540e-02	2.048e-02	2.962e-02	3.372e-02	2.573e-02	4.252e-02	3.913e-02	3.600e-02	4.111e-02
6.600e+03	2.548e-02	1.992e-02	2.834e-02	3.390e-02	2.566e-02	4.291e-02	3.832e-02	3.606e-02	3.975e-02
6.700e+03	2.544e-02	1.963e-02	2.894e-02	3.329e-02	2.558e-02	4.319e-02	3.821e-02	3.632e-02	3.977e-02
