run.problem.name;run.solver.name;run.randomGenerator.seed;run.problem.simulation.arena;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→quality→behavior.quality→first.agent.velocity.x;best→genotype→size;best→genotype→first→size;best→genotype→second→size;best→body.epistasis;best→brain.epistasis;best→global.epistasis;best→cross.epistasis;all→each[body.epistasis]→avg;all→each[brain.epistasis]→avg;all→each[global.epistasis]→avg;all→each[cross.epistasis]→avg;all→each[body.epistasis]→sd;all→each[brain.epistasis]→sd;all→each[global.epistasis]→sd;all→each[cross.epistasis]→sd
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;15;1500;1500;5.27180e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.77381e-01;3.62857e-01;5.70714e-01;4.01190e-01;4.17007e-02;3.51737e-02;1.61326e-02;5.50587e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;15;1500;1500;5.41880e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.80238e-01;3.73810e-01;5.78571e-01;4.03095e-01;4.57310e-02;5.08989e-02;2.19513e-02;4.98586e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;16;1600;1600;5.60060e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.76905e-01;3.64048e-01;5.69881e-01;3.98810e-01;4.13841e-02;3.72366e-02;1.60299e-02;5.64818e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;16;1600;1600;5.77720e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.79286e-01;3.72381e-01;5.78095e-01;4.04524e-01;4.57062e-02;5.05660e-02;2.17776e-02;4.90840e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;17;1700;1700;5.94510e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.74286e-01;3.66905e-01;5.69048e-01;3.96905e-01;4.04173e-02;3.69002e-02;1.58829e-02;5.50258e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;17;1700;1700;6.14050e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.80952e-01;3.69048e-01;5.77857e-01;4.05714e-01;4.37733e-02;4.65962e-02;2.17189e-02;4.40212e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;18;1800;1800;6.32130e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.72381e-01;3.68095e-01;5.69048e-01;3.97619e-01;4.11733e-02;3.78594e-02;1.60604e-02;5.60915e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;18;1800;1800;6.50270e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.85000e-01;3.67857e-01;5.78929e-01;4.05000e-01;4.27320e-02;4.65809e-02;2.14718e-02;4.47334e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;19;1900;1900;6.67280e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.72619e-01;3.68571e-01;5.70000e-01;3.98810e-01;4.11533e-02;3.91925e-02;1.69433e-02;5.81630e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;19;1900;1900;6.83610e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.88095e-01;3.65714e-01;5.79881e-01;4.05952e-01;4.18533e-02;4.64768e-02;2.12489e-02;4.30386e-02
