n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.max
5.700e+03	4.497e-02	2.713e-02	4.661e-02	5.154e-02	3.487e-02	5.735e-02	4.215e-02	3.619e-02	4.698e-02
5.800e+03	4.454e-02	2.579e-02	4.478e-02	5.094e-02	3.576e-02	5.755e-02	4.177e-02	3.627e-02	4.717e-02
5.900e+03	4.456e-02	2.606e-02	4.553e-02	5.036e-02	3.578e-02	5.615e-02	4.210e-02	3.546e-02	4.682e-02
6.000e+03	4.375e-02	2.575e-02	4.535e-02	5.104e-02	3.520e-02	5.627e-02	4.103e-02	3.445e-02	4.774e-02
6.100e+03	4.375e-02	2.504e-02	4.586e-02	5.092e-02	3.426e-02	5.627e-02	4.268e-02	3.461e-02	4.774e-02
6.200e+03	4.052e-02	2.521e-02	4.623e-02	5.093e-02	3.431e-02	5.639e-02	4.340e-02	3.456e-02	4.829e-02
6.300e+03	4.253e-02	2.513e-02	4.591e-02	5.110e-02	3.436e-02	5.639e-02	4.373e-02	3.617e-02	4.815e-02
6.400e+03	4.258e-02	2.549e-02	4.378e-02	5.120e-02	3.435e-02	5.727e-02	4.373e-02	3.571e-02	4.712e-02
6.500e+03	4.197e-02	2.561e-02	4.352e-02	5.123e-02	3.392e-02	5.708e-02	4.414e-02	3.514e-02	4.839e-02
6.600e+03	3.380e-02	2.545e-02	4.363e-02	5.156e-02	3.388e-02	5.675e-02	4.264e-02	3.508e-02	4.856e-02
