n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis.max
1.080e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.090e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.100e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.110e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.120e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.130e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
1.140e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
1.150e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
1.160e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
1.170e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
1.180e+04	3.810e-01	3.333e-01	4.048e-01	2.619e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.905e-01
1.190e+04	3.810e-01	3.333e-01	4.048e-01	2.619e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.905e-01
1.200e+04	3.810e-01	3.333e-01	4.048e-01	2.619e-01	1.905e-01	3.095e-01	1.429e-01	1.190e-01	1.905e-01
1.210e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.905e-01
1.220e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.905e-01
1.230e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.905e-01
1.240e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.905e-01
1.250e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.260e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.270e+04	3.810e-01	3.095e-01	4.048e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.280e+04	3.810e-01	3.095e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.290e+04	3.810e-01	3.095e-01	4.286e-01	2.381e-01	2.143e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.300e+04	3.810e-01	3.095e-01	4.286e-01	2.381e-01	2.143e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.310e+04	3.810e-01	3.095e-01	4.286e-01	2.381e-01	2.143e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
