n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd.max
1.210e+04	2.113e-02	1.833e-02	2.143e-02	3.749e-02	2.597e-02	4.066e-02	3.141e-02	2.429e-02	4.543e-02
1.220e+04	2.090e-02	1.828e-02	2.116e-02	3.236e-02	2.597e-02	4.038e-02	3.141e-02	2.413e-02	4.528e-02
1.230e+04	2.040e-02	1.860e-02	2.075e-02	3.254e-02	2.608e-02	3.975e-02	3.146e-02	2.494e-02	4.501e-02
1.240e+04	2.023e-02	1.880e-02	2.062e-02	3.256e-02	2.629e-02	3.985e-02	3.164e-02	2.463e-02	4.511e-02
1.250e+04	1.949e-02	1.878e-02	2.070e-02	3.256e-02	2.628e-02	4.031e-02	3.105e-02	2.463e-02	4.523e-02
1.260e+04	1.916e-02	1.878e-02	2.070e-02	3.299e-02	2.640e-02	4.031e-02	3.123e-02	2.458e-02	4.453e-02
1.270e+04	2.006e-02	1.878e-02	2.066e-02	3.168e-02	2.619e-02	4.039e-02	3.168e-02	2.471e-02	3.910e-02
1.280e+04	2.006e-02	1.890e-02	2.090e-02	3.042e-02	2.601e-02	4.048e-02	3.219e-02	2.474e-02	3.942e-02
1.290e+04	2.006e-02	1.844e-02	2.089e-02	3.046e-02	2.601e-02	4.031e-02	3.335e-02	2.491e-02	3.789e-02
1.300e+04	1.978e-02	1.844e-02	2.089e-02	3.046e-02	2.592e-02	4.031e-02	3.328e-02	2.491e-02	3.824e-02
1.310e+04	1.978e-02	1.844e-02	2.113e-02	2.888e-02	2.462e-02	4.056e-02	3.200e-02	2.635e-02	3.852e-02
1.320e+04	1.978e-02	1.813e-02	2.140e-02	2.879e-02	2.405e-02	4.099e-02	3.194e-02	2.635e-02	3.784e-02
1.330e+04	2.006e-02	1.797e-02	2.140e-02	2.879e-02	2.405e-02	4.179e-02	3.206e-02	2.640e-02	3.802e-02
1.340e+04	2.032e-02	1.794e-02	2.153e-02	2.894e-02	2.405e-02	4.153e-02	3.219e-02	2.672e-02	3.769e-02
1.350e+04	2.032e-02	1.834e-02	2.153e-02	2.810e-02	2.440e-02	4.468e-02	2.933e-02	2.623e-02	3.769e-02
