n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.quality.first.agent.velocity.x.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.quality.first.agent.velocity.x.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.quality.first.agent.velocity.x.max	_.locomotion.hilly.5.0.75.ga.single.ds.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.single.ds.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.single.ds.best.quality.first.agent.velocity.x.max
7.300e+03	2.149e+00	1.998e+00	2.208e+00	1.961e+00	1.404e+00	2.091e+00	1.597e+00	1.365e+00	1.914e+00	2.668e+00	2.174e+00	2.735e+00
7.400e+03	2.159e+00	1.998e+00	2.236e+00	1.961e+00	1.404e+00	2.091e+00	1.597e+00	1.398e+00	1.914e+00	2.668e+00	2.174e+00	2.735e+00
7.500e+03	2.159e+00	1.998e+00	2.236e+00	1.961e+00	1.463e+00	2.091e+00	1.597e+00	1.398e+00	1.914e+00	2.668e+00	2.174e+00	2.735e+00
7.600e+03	2.159e+00	1.998e+00	2.236e+00	1.991e+00	1.691e+00	2.136e+00	1.597e+00	1.398e+00	1.914e+00	2.668e+00	2.174e+00	2.785e+00
7.700e+03	2.215e+00	1.998e+00	2.251e+00	1.991e+00	1.691e+00	2.136e+00	1.597e+00	1.398e+00	1.914e+00	2.668e+00	2.174e+00	2.785e+00
7.800e+03	2.215e+00	2.050e+00	2.251e+00	1.991e+00	1.691e+00	2.160e+00	1.597e+00	1.398e+00	1.914e+00	2.668e+00	2.174e+00	2.785e+00
7.900e+03	2.215e+00	2.050e+00	2.324e+00	1.991e+00	1.691e+00	2.160e+00	1.597e+00	1.398e+00	1.914e+00	2.668e+00	2.174e+00	2.785e+00
8.000e+03	2.215e+00	2.050e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.755e+00	1.398e+00	1.914e+00	2.668e+00	2.174e+00	2.785e+00
8.100e+03	2.215e+00	2.050e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.755e+00	1.398e+00	1.914e+00	2.668e+00	2.174e+00	2.785e+00
8.200e+03	2.215e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.755e+00	1.398e+00	1.914e+00	2.668e+00	2.174e+00	2.785e+00
8.300e+03	2.227e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.755e+00	1.398e+00	1.914e+00	2.668e+00	2.174e+00	2.785e+00
8.400e+03	2.227e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.755e+00	1.398e+00	1.914e+00	2.668e+00	2.187e+00	2.785e+00
8.500e+03	2.227e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.860e+00	1.398e+00	1.919e+00	2.685e+00	2.187e+00	2.785e+00
8.600e+03	2.227e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.860e+00	1.398e+00	1.919e+00	2.685e+00	2.187e+00	2.785e+00
8.700e+03	2.227e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.877e+00	1.398e+00	1.943e+00	2.685e+00	2.187e+00	2.785e+00
8.800e+03	2.227e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.919e+00	1.398e+00	1.943e+00	2.685e+00	2.187e+00	2.785e+00
8.900e+03	2.227e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.919e+00	1.398e+00	1.943e+00	2.685e+00	2.187e+00	2.785e+00
9.000e+03	2.227e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.919e+00	1.398e+00	1.943e+00	2.685e+00	2.187e+00	2.785e+00
9.100e+03	2.251e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.919e+00	1.398e+00	1.943e+00	2.685e+00	2.187e+00	2.785e+00
9.200e+03	2.251e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.943e+00	1.398e+00	2.005e+00	2.685e+00	2.187e+00	2.785e+00
9.300e+03	2.251e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.943e+00	1.398e+00	2.005e+00	2.685e+00	2.187e+00	2.785e+00
9.400e+03	2.251e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.943e+00	1.398e+00	2.005e+00	2.685e+00	2.187e+00	2.785e+00
9.500e+03	2.251e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.943e+00	1.427e+00	2.005e+00	2.685e+00	2.187e+00	2.785e+00
9.600e+03	2.251e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.943e+00	1.427e+00	2.005e+00	2.685e+00	2.187e+00	2.785e+00
9.700e+03	2.251e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.943e+00	1.427e+00	2.005e+00	2.685e+00	2.187e+00	2.785e+00
9.800e+03	2.251e+00	2.108e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.943e+00	1.597e+00	2.005e+00	2.685e+00	2.187e+00	2.785e+00
9.900e+03	2.251e+00	2.159e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.943e+00	1.597e+00	2.005e+00	2.685e+00	2.187e+00	2.785e+00
1.000e+04	2.251e+00	2.159e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.943e+00	1.597e+00	2.005e+00	2.697e+00	2.187e+00	2.785e+00
1.010e+04	2.251e+00	2.159e+00	2.324e+00	1.991e+00	1.848e+00	2.160e+00	1.959e+00	1.599e+00	2.005e+00	2.697e+00	2.195e+00	2.785e+00
1.020e+04	2.251e+00	2.159e+00	2.345e+00	1.991e+00	1.848e+00	2.160e+00	1.959e+00	1.599e+00	2.005e+00	2.697e+00	2.195e+00	2.785e+00
1.030e+04	2.251e+00	2.159e+00	2.345e+00	1.991e+00	1.848e+00	2.160e+00	1.959e+00	1.627e+00	2.005e+00	2.697e+00	2.195e+00	2.785e+00
1.040e+04	2.251e+00	2.159e+00	2.345e+00	1.991e+00	1.848e+00	2.160e+00	1.959e+00	1.627e+00	2.005e+00	2.697e+00	2.195e+00	2.785e+00
1.050e+04	2.251e+00	2.159e+00	2.345e+00	2.012e+00	1.848e+00	2.160e+00	1.959e+00	1.627e+00	2.005e+00	2.697e+00	2.195e+00	2.785e+00
1.060e+04	2.251e+00	2.159e+00	2.345e+00	2.012e+00	1.848e+00	2.160e+00	1.959e+00	1.627e+00	2.005e+00	2.697e+00	2.195e+00	2.785e+00
1.070e+04	2.251e+00	2.159e+00	2.345e+00	2.029e+00	1.848e+00	2.160e+00	2.002e+00	1.754e+00	2.024e+00	2.697e+00	2.195e+00	2.785e+00
1.080e+04	2.251e+00	2.159e+00	2.365e+00	2.029e+00	1.848e+00	2.160e+00	2.002e+00	1.754e+00	2.024e+00	2.697e+00	2.195e+00	2.785e+00
1.090e+04	2.251e+00	2.159e+00	2.365e+00	2.029e+00	1.848e+00	2.160e+00	2.002e+00	1.754e+00	2.024e+00	2.697e+00	2.195e+00	2.785e+00
1.100e+04	2.251e+00	2.159e+00	2.384e+00	2.029e+00	1.848e+00	2.160e+00	2.002e+00	1.754e+00	2.024e+00	2.697e+00	2.195e+00	2.785e+00
1.110e+04	2.251e+00	2.159e+00	2.384e+00	2.029e+00	1.848e+00	2.160e+00	2.002e+00	1.754e+00	2.024e+00	2.697e+00	2.195e+00	2.785e+00
1.120e+04	2.251e+00	2.159e+00	2.384e+00	2.029e+00	1.848e+00	2.160e+00	2.002e+00	1.754e+00	2.024e+00	2.697e+00	2.195e+00	2.785e+00
1.130e+04	2.251e+00	2.159e+00	2.384e+00	2.029e+00	1.848e+00	2.160e+00	2.002e+00	1.771e+00	2.024e+00	2.697e+00	2.195e+00	2.800e+00
1.140e+04	2.251e+00	2.159e+00	2.384e+00	2.029e+00	1.848e+00	2.160e+00	2.002e+00	1.771e+00	2.024e+00	2.697e+00	2.195e+00	2.800e+00
1.150e+04	2.251e+00	2.159e+00	2.384e+00	2.029e+00	1.848e+00	2.160e+00	2.002e+00	1.771e+00	2.024e+00	2.697e+00	2.195e+00	2.800e+00
1.160e+04	2.251e+00	2.159e+00	2.384e+00	2.029e+00	1.873e+00	2.160e+00	2.002e+00	1.771e+00	2.024e+00	2.697e+00	2.195e+00	2.800e+00
1.170e+04	2.251e+00	2.159e+00	2.384e+00	2.029e+00	1.873e+00	2.160e+00	2.002e+00	1.771e+00	2.024e+00	2.697e+00	2.195e+00	2.800e+00
1.180e+04	2.251e+00	2.159e+00	2.384e+00	2.099e+00	1.897e+00	2.160e+00	2.002e+00	1.771e+00	2.024e+00	2.697e+00	2.195e+00	2.800e+00
1.190e+04	2.251e+00	2.159e+00	2.384e+00	2.099e+00	1.897e+00	2.160e+00	2.002e+00	1.918e+00	2.024e+00	2.697e+00	2.195e+00	2.800e+00
1.200e+04	2.251e+00	2.159e+00	2.384e+00	2.099e+00	1.897e+00	2.160e+00	2.002e+00	1.918e+00	2.024e+00	2.697e+00	2.212e+00	2.800e+00
1.210e+04	2.251e+00	2.159e+00	2.384e+00	2.099e+00	1.897e+00	2.160e+00	2.002e+00	1.918e+00	2.024e+00	2.697e+00	2.212e+00	2.800e+00
1.220e+04	2.251e+00	2.159e+00	2.384e+00	2.099e+00	1.963e+00	2.160e+00	2.002e+00	1.918e+00	2.024e+00	2.697e+00	2.212e+00	2.800e+00
1.230e+04	2.251e+00	2.159e+00	2.384e+00	2.099e+00	1.963e+00	2.160e+00	2.002e+00	1.918e+00	2.024e+00	2.697e+00	2.212e+00	2.800e+00
1.240e+04	2.251e+00	2.159e+00	2.384e+00	2.099e+00	1.963e+00	2.160e+00	2.002e+00	1.943e+00	2.044e+00	2.697e+00	2.212e+00	2.800e+00
1.250e+04	2.317e+00	2.159e+00	2.384e+00	2.099e+00	1.963e+00	2.160e+00	2.002e+00	1.943e+00	2.044e+00	2.697e+00	2.212e+00	2.800e+00
1.260e+04	2.317e+00	2.159e+00	2.384e+00	2.099e+00	1.963e+00	2.160e+00	2.002e+00	1.943e+00	2.044e+00	2.697e+00	2.212e+00	2.800e+00
1.270e+04	2.317e+00	2.159e+00	2.386e+00	2.099e+00	1.998e+00	2.160e+00	2.002e+00	1.943e+00	2.044e+00	2.697e+00	2.212e+00	2.800e+00
1.280e+04	2.350e+00	2.182e+00	2.409e+00	2.099e+00	1.998e+00	2.160e+00	2.002e+00	1.943e+00	2.044e+00	2.697e+00	2.212e+00	2.800e+00
1.290e+04	2.350e+00	2.182e+00	2.409e+00	2.126e+00	1.998e+00	2.160e+00	2.005e+00	1.943e+00	2.044e+00	2.697e+00	2.212e+00	2.800e+00
