n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg.max
1.290e+04	3.931e-01	3.564e-01	4.095e-01	2.162e-01	1.895e-01	2.621e-01	1.274e-01	1.105e-01	1.624e-01
1.300e+04	3.931e-01	3.569e-01	4.095e-01	2.160e-01	1.886e-01	2.617e-01	1.276e-01	1.112e-01	1.624e-01
1.310e+04	3.931e-01	3.567e-01	4.095e-01	2.150e-01	1.886e-01	2.617e-01	1.276e-01	1.110e-01	1.629e-01
1.320e+04	3.940e-01	3.571e-01	4.088e-01	2.155e-01	1.883e-01	2.610e-01	1.271e-01	1.110e-01	1.626e-01
1.330e+04	3.940e-01	3.574e-01	4.090e-01	2.143e-01	1.869e-01	2.610e-01	1.240e-01	1.102e-01	1.629e-01
1.340e+04	3.950e-01	3.576e-01	4.090e-01	2.148e-01	1.869e-01	2.607e-01	1.240e-01	1.105e-01	1.629e-01
1.350e+04	3.952e-01	3.574e-01	4.079e-01	2.145e-01	1.874e-01	2.607e-01	1.229e-01	1.117e-01	1.626e-01
1.360e+04	3.950e-01	3.574e-01	4.076e-01	2.145e-01	1.881e-01	2.607e-01	1.231e-01	1.110e-01	1.629e-01
1.370e+04	3.943e-01	3.579e-01	4.074e-01	2.138e-01	1.871e-01	2.614e-01	1.221e-01	1.110e-01	1.631e-01
1.380e+04	3.945e-01	3.579e-01	4.081e-01	2.148e-01	1.883e-01	2.612e-01	1.207e-01	1.110e-01	1.626e-01
1.390e+04	3.950e-01	3.579e-01	4.081e-01	2.145e-01	1.879e-01	2.619e-01	1.205e-01	1.114e-01	1.619e-01
1.400e+04	3.950e-01	3.581e-01	4.081e-01	2.145e-01	1.876e-01	2.617e-01	1.190e-01	1.105e-01	1.619e-01
1.410e+04	3.950e-01	3.590e-01	4.081e-01	2.145e-01	1.876e-01	2.612e-01	1.183e-01	1.098e-01	1.621e-01
1.420e+04	3.950e-01	3.590e-01	4.071e-01	2.152e-01	1.876e-01	2.612e-01	1.174e-01	1.093e-01	1.621e-01
1.430e+04	3.950e-01	3.590e-01	4.064e-01	2.162e-01	1.862e-01	2.610e-01	1.174e-01	1.100e-01	1.636e-01
1.440e+04	3.952e-01	3.586e-01	4.064e-01	2.162e-01	1.855e-01	2.610e-01	1.162e-01	1.081e-01	1.643e-01
1.450e+04	3.960e-01	3.590e-01	4.064e-01	2.162e-01	1.860e-01	2.607e-01	1.157e-01	1.062e-01	1.650e-01
