n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.max
8.000e+03	5.839e-01	5.638e-01	5.893e-01	3.727e-01	3.645e-01	3.811e-01	2.537e-01	2.382e-01	2.737e-01
8.100e+03	5.843e-01	5.642e-01	5.893e-01	3.731e-01	3.646e-01	3.823e-01	2.551e-01	2.377e-01	2.752e-01
8.200e+03	5.839e-01	5.645e-01	5.894e-01	3.737e-01	3.648e-01	3.829e-01	2.558e-01	2.383e-01	2.752e-01
8.300e+03	5.840e-01	5.649e-01	5.895e-01	3.742e-01	3.652e-01	3.837e-01	2.554e-01	2.389e-01	2.750e-01
8.400e+03	5.843e-01	5.646e-01	5.896e-01	3.742e-01	3.652e-01	3.839e-01	2.561e-01	2.389e-01	2.750e-01
8.500e+03	5.843e-01	5.646e-01	5.899e-01	3.752e-01	3.648e-01	3.852e-01	2.565e-01	2.381e-01	2.750e-01
8.600e+03	5.843e-01	5.646e-01	5.901e-01	3.757e-01	3.648e-01	3.855e-01	2.564e-01	2.385e-01	2.754e-01
8.700e+03	5.844e-01	5.646e-01	5.900e-01	3.767e-01	3.650e-01	3.887e-01	2.569e-01	2.385e-01	2.755e-01
8.800e+03	5.846e-01	5.644e-01	5.900e-01	3.768e-01	3.648e-01	3.888e-01	2.580e-01	2.390e-01	2.749e-01
8.900e+03	5.848e-01	5.645e-01	5.904e-01	3.768e-01	3.646e-01	3.896e-01	2.590e-01	2.390e-01	2.731e-01
